Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,Cancellation Date,Enrollment Date,Cancelled Before Cutoff,Enrolled After Cutoff,Promotion Customer,Tenure,Total Flights in Lifetime,Total Distance,Net Reward Points,Redeem Ratio,Months Since Last Flight,Flights in last 3 months,Flights in last 6 months,Engagement Score,Cancelled In Label Window,Churn,churn_risk_score,churn_risk_tier,segment,segment_name
823048,canada,british columbia,vancouver,v6e 3z3,male,bachelor,80697.0,married,star,3919.37,standard,2018,5,0.0,0.0,,2018-05-01,False,False,0,1,4,3184,3184.0,0.0,0,4,4,0.0509313733410121,False,0,0.2950035159988498,Low Risk,2,Occasional / Higher Churn Risk
612905,canada,ontario,toronto,p2t 6g3,female,college,73455.0,married,star,3920.51,standard,2015,2,0.0,0.0,,2015-02-01,False,False,0,40,27,39794,39225.0,0.014,1,4,10,0.2121033948552924,False,0,0.2333713202508223,Low Risk,1,"Champions (high flights, low churn)"
679908,canada,quebec,montreal,h4g 3t4,female,bachelor,77601.0,married,star,3921.02,standard,2015,8,0.0,0.0,,2015-08-01,False,False,0,34,31,49417,48438.0,0.02,2,1,7,0.1608244602185703,False,0,0.2073962318231794,Low Risk,1,"Champions (high flights, low churn)"
704150,canada,manitoba,winnipeg,r6y 4t5,male,bachelor,77601.0,married,star,3921.02,standard,2014,10,0.0,0.0,,2014-10-01,False,False,0,44,28,38154,37188.0,0.025,1,4,9,0.2207165133970685,False,0,0.213316416382145,Low Risk,1,"Champions (high flights, low churn)"
596179,canada,new brunswick,fredericton,e3b 2h2,female,bachelor,50879.0,single,star,3933.81,standard,2014,3,0.0,0.0,,2014-03-01,False,False,0,51,41,75943,75943.0,0.0,0,9,11,0.2813822647810595,False,0,0.2265899654661528,Low Risk,1,"Champions (high flights, low churn)"
370450,canada,ontario,thunder bay,k8t 5m5,female,high school or below,62160.0,married,star,3934.1,standard,2012,11,0.0,0.0,,2012-11-01,False,False,0,67,26,31768,30386.0,0.044,0,4,10,0.3033613353713356,False,0,0.1401112384594432,Low Risk,0,Engaged / Mid-Tier Loyalty
501030,canada,british columbia,vancouver,v6e 3z3,male,bachelor,93541.0,married,star,3934.71,standard,2017,3,0.0,0.0,,2017-03-01,False,False,0,15,22,25299,25299.0,0.0,1,4,5,0.1031777286087413,False,0,0.2204855696624927,Low Risk,2,Occasional / Higher Churn Risk
878633,canada,ontario,trenton,k8v 4b2,female,doctor,163974.0,married,star,3936.79,standard,2013,12,0.0,0.0,,2013-12-01,False,False,0,54,37,47664,47664.0,0.0,0,4,10,0.2594506753462013,False,0,0.1980396021614515,Low Risk,1,"Champions (high flights, low churn)"
285938,canada,quebec,montreal,h2t 2j6,female,bachelor,75827.0,married,star,3939.01,standard,2014,9,0.0,0.0,,2014-09-01,False,False,0,45,31,46476,46476.0,0.0,1,2,9,0.2132805598291289,False,0,0.1854902470078,Low Risk,1,"Champions (high flights, low churn)"
588237,canada,quebec,tremblant,h5y 2s9,male,bachelor,75827.0,married,star,3939.01,standard,2013,11,0.0,0.0,,2013-11-01,False,False,0,55,24,24470,23531.0,0.038,3,0,1,0.1969790921210115,False,0,0.2249478686748406,Low Risk,0,Engaged / Mid-Tier Loyalty
645280,canada,british columbia,west vancouver,v6v 8z3,male,bachelor,75827.0,married,star,3939.01,standard,2012,12,0.0,0.0,,2012-12-01,False,False,0,66,37,49890,49077.0,0.016,0,5,11,0.3103347751697892,False,0,0.1534430161010545,Low Risk,1,"Champions (high flights, low churn)"
864324,canada,quebec,quebec city,g1b 3l5,female,bachelor,75827.0,married,star,3939.01,standard,2018,6,0.0,0.0,,2018-06-01,False,False,0,0,35,45316,43630.0,0.037,0,11,17,0.1493822625548725,False,0,0.2264573949298434,Low Risk,1,"Champions (high flights, low churn)"
124678,canada,nova scotia,halifax,b3j 9s2,male,doctor,152955.0,married,star,3954.34,standard,2013,6,0.0,0.0,,2013-06-01,False,False,0,60,37,62863,62559.0,0.005,0,9,11,0.3118507018182124,False,0,0.1631732975201438,Low Risk,1,"Champions (high flights, low churn)"
186015,canada,british columbia,vancouver,v6e 3z3,male,doctor,152955.0,married,star,3954.34,standard,2015,9,0.0,0.0,,2015-09-01,False,False,0,33,28,42376,41872.0,0.012,0,7,12,0.2146668811689185,False,0,0.2070150505699776,Low Risk,1,"Champions (high flights, low churn)"
589580,canada,british columbia,whistler,v6t 1y8,male,doctor,152955.0,married,star,3954.34,standard,2015,8,0.0,0.0,,2015-08-01,False,False,0,34,38,66248,65089.0,0.017,1,7,11,0.2131432987629832,False,0,0.2284158732533705,Low Risk,1,"Champions (high flights, low churn)"
623688,canada,ontario,london,m5b 3e4,female,doctor,152955.0,married,star,3954.34,standard,2016,5,0.0,0.0,,2016-05-01,False,False,0,25,40,73065,71608.0,0.02,0,6,12,0.1822050715331958,False,0,0.2134456919705624,Low Risk,1,"Champions (high flights, low churn)"
386082,canada,alberta,edmonton,t9g 1w3,female,bachelor,30486.0,divorced,aurora,5391.97,2018 promotion,2018,3,2018.0,11.0,2018-11-01,2018-03-01,False,False,1,3,0,0,0.0,0.0,999,0,0,0.0208623635842426,True,1,0.9244639050095176,High Risk,4,Dormant / Never Flew
256147,canada,ontario,toronto,m1r 4k3,female,college,73455.0,married,star,3958.0,standard,2012,9,0.0,0.0,,2012-09-01,False,False,0,69,35,57487,57148.0,0.006,0,5,9,0.3107242922281081,False,0,0.1376488912321493,Low Risk,1,"Champions (high flights, low churn)"
329382,canada,quebec,montreal,h2t 9k8,male,college,73455.0,single,star,3961.59,standard,2012,8,0.0,0.0,,2012-08-01,False,False,0,70,0,0,0.0,0.0,999,0,0,0.2428221325966335,False,1,0.9957161229981132,High Risk,4,Dormant / Never Flew
140392,canada,british columbia,vancouver,v5r 1w3,female,bachelor,96814.0,married,star,3963.39,standard,2013,7,0.0,0.0,,2013-07-01,False,False,0,59,21,26025,25458.0,0.022,1,3,6,0.2513816093637687,False,0,0.1983822594908761,Low Risk,2,Occasional / Higher Churn Risk
112522,canada,alberta,peace river,t9o 2w2,male,bachelor,49846.0,married,aurora,5636.74,2018 promotion,2018,2,0.0,0.0,,2018-02-01,False,False,1,4,13,19992,29988.0,0.0,1,11,13,0.1485003387843473,False,0,0.5714244840539642,Medium Risk,2,Occasional / Higher Churn Risk
230908,canada,british columbia,vancouver,v6e 3z3,male,doctor,217538.0,divorced,star,3964.15,standard,2012,5,0.0,0.0,,2012-05-01,False,False,0,73,36,49909,49087.0,0.016,1,3,7,0.3035832008131405,False,0,0.1277643050018048,Low Risk,1,"Champions (high flights, low churn)"
972581,canada,british columbia,vancouver,v5r 1w3,male,high school or below,48744.0,married,star,3964.53,standard,2016,2,0.0,0.0,,2016-02-01,False,False,0,28,20,22939,22300.0,0.028,1,4,4,0.1422862407257483,False,0,0.2235646817806159,Low Risk,2,Occasional / Higher Churn Risk
330694,canada,alberta,edmonton,t3g 6y6,female,bachelor,105053.0,married,aurora,6172.91,2018 promotion,2018,2,0.0,0.0,,2018-02-01,False,False,1,4,24,47716,71574.0,0.0,0,20,24,0.2529811111430552,False,0,0.6274965528791859,High Risk,1,"Champions (high flights, low churn)"
910875,canada,quebec,hull,j8y 3z5,female,bachelor,84914.0,married,star,3966.13,standard,2012,11,0.0,0.0,,2012-11-01,False,False,0,67,20,34009,33526.0,0.014,1,7,12,0.3295679439362823,False,0,0.1345680503481263,Low Risk,2,Occasional / Higher Churn Risk
501704,canada,quebec,hull,j8y 3z5,male,college,73455.0,divorced,star,3974.86,standard,2013,5,0.0,0.0,,2013-05-01,False,False,0,61,31,30779,28264.0,0.082,0,6,13,0.3087916548686713,False,0,0.1701401265131747,Low Risk,0,Engaged / Mid-Tier Loyalty
529098,canada,british columbia,vancouver,v6e 3z3,female,college,73455.0,divorced,star,3974.86,standard,2017,10,0.0,0.0,,2017-10-01,False,False,0,8,12,17472,17005.0,0.027,0,5,7,0.0948910535000392,False,0,0.296426205066133,Low Risk,2,Occasional / Higher Churn Risk
567875,canada,quebec,quebec city,g1b 3l5,female,bachelor,102457.0,married,star,3979.72,standard,2017,5,0.0,0.0,,2017-05-01,False,False,0,13,7,11170,11170.0,0.0,1,3,3,0.0813204583100706,False,0,0.2729820799142777,Low Risk,2,Occasional / Higher Churn Risk
688524,canada,manitoba,winnipeg,r2c 0m5,female,bachelor,103862.0,married,star,3980.42,standard,2013,3,0.0,0.0,,2013-03-01,False,False,0,63,19,30805,27935.0,0.093,0,4,8,0.2801861129137704,False,0,0.1840500219889515,Low Risk,0,Engaged / Mid-Tier Loyalty
269070,canada,british columbia,vancouver,v6e 3z3,male,master,93153.0,married,star,3985.32,standard,2013,1,0.0,0.0,,2013-01-01,False,False,0,65,37,48544,47244.0,0.027,0,6,9,0.3027294397538475,False,0,0.1928468622686117,Low Risk,1,"Champions (high flights, low churn)"
387705,canada,quebec,hull,j8y 3z5,female,master,93153.0,married,star,3985.32,standard,2013,4,0.0,0.0,,2013-04-01,False,False,0,62,34,51201,49575.0,0.032,0,7,14,0.3225388911489766,False,0,0.1670757170931268,Low Risk,1,"Champions (high flights, low churn)"
923293,canada,saskatchewan,regina,s6j 3g0,male,bachelor,86793.0,divorced,star,3985.55,standard,2016,6,0.0,0.0,,2016-06-01,False,False,0,24,37,46168,45318.0,0.018,1,1,5,0.1174348762103704,False,0,0.2223414272796274,Low Risk,1,"Champions (high flights, low churn)"
114835,canada,ontario,toronto,m1r 4k3,female,master,101354.0,divorced,star,4001.52,standard,2017,7,0.0,0.0,,2017-07-01,False,False,0,11,19,27506,27506.0,0.0,1,5,11,0.1247158838572994,False,0,0.2222743543379134,Low Risk,2,Occasional / Higher Churn Risk
328936,canada,ontario,thunder bay,k8t 5m5,female,bachelor,53118.0,married,star,4005.72,standard,2015,3,0.0,0.0,,2015-03-01,False,False,0,39,37,48798,47892.0,0.019,0,7,10,0.2252909778120704,False,0,0.2405099281665092,Low Risk,1,"Champions (high flights, low churn)"
845864,canada,british columbia,vancouver,v5r 1w3,female,doctor,115440.0,married,star,4013.85,standard,2013,4,0.0,0.0,,2013-04-01,False,False,0,62,39,52285,50909.0,0.026,0,10,13,0.3340288715883998,False,0,0.1712170314447957,Low Risk,1,"Champions (high flights, low churn)"
645265,canada,quebec,quebec city,g1b 3l5,male,bachelor,73313.0,married,star,4013.95,standard,2013,3,0.0,0.0,,2013-03-01,False,False,0,63,20,31726,31345.0,0.012,0,2,3,0.2449096882761494,False,0,0.1816428469428216,Low Risk,2,Occasional / Higher Churn Risk
223587,canada,british columbia,vancouver,v6e 3z3,female,bachelor,100167.0,married,star,4013.96,standard,2017,8,0.0,0.0,,2017-08-01,False,False,0,10,17,29707,29153.0,0.019,0,4,7,0.096333073278949,False,0,0.2576291638654806,Low Risk,2,Occasional / Higher Churn Risk
158560,canada,british columbia,vancouver,v6e 3d9,male,bachelor,59262.0,married,star,4014.45,standard,2015,12,0.0,0.0,,2015-12-01,False,False,0,30,23,32181,30438.0,0.054,1,7,8,0.1851084538650788,False,0,0.2583338752422204,Low Risk,0,Engaged / Mid-Tier Loyalty
417584,canada,british columbia,vancouver,v5r 1w3,male,bachelor,59262.0,married,star,4014.45,standard,2014,5,0.0,0.0,,2014-05-01,False,False,0,49,28,38662,38055.0,0.016,2,3,9,0.232460473403799,False,0,0.209325127892071,Low Risk,1,"Champions (high flights, low churn)"
472521,canada,alberta,edmonton,t9g 1w3,male,college,73455.0,married,aurora,6265.34,2018 promotion,2018,3,0.0,0.0,,2018-03-01,False,False,1,3,34,28159,42238.5,0.0,0,31,34,0.3586887298062627,False,0,0.5943689906804798,Medium Risk,1,"Champions (high flights, low churn)"
425854,canada,ontario,toronto,p1j 8t7,female,high school or below,39079.0,married,star,4016.13,standard,2016,11,0.0,0.0,,2016-11-01,False,False,0,19,37,52145,51515.0,0.012,0,10,15,0.1985695229900392,False,1,0.2385940426099852,Low Risk,1,"Champions (high flights, low churn)"
695855,canada,quebec,montreal,h2t 2j6,female,college,73455.0,divorced,star,4019.38,standard,2013,4,0.0,0.0,,2013-04-01,False,False,0,62,28,35412,34976.0,0.012,0,12,13,0.3449154151264712,False,0,0.1461028653102391,Low Risk,1,"Champions (high flights, low churn)"
699511,canada,british columbia,west vancouver,v6v 8z3,female,college,73455.0,divorced,star,4019.38,standard,2014,7,0.0,0.0,,2014-07-01,False,False,0,47,23,37005,37005.0,0.0,4,0,3,0.1800027403033104,False,0,0.2223422475299569,Low Risk,2,Occasional / Higher Churn Risk
377322,canada,alberta,edmonton,t9g 1w3,female,bachelor,62518.0,married,star,4023.81,standard,2016,5,0.0,0.0,,2016-05-01,False,False,0,25,40,73294,71805.0,0.02,0,11,13,0.2144942335956441,False,0,0.2497964395060276,Low Risk,1,"Champions (high flights, low churn)"
511053,canada,ontario,toronto,m2m 7k8,male,bachelor,62518.0,married,star,4023.81,standard,2015,3,0.0,0.0,,2015-03-01,False,False,0,39,18,27536,26734.0,0.029,3,0,3,0.1529893143541519,False,0,0.2583593931189581,Low Risk,2,Occasional / Higher Churn Risk
890753,canada,quebec,montreal,h2y 2w2,male,college,73455.0,married,star,4025.1,standard,2017,9,0.0,0.0,,2017-09-01,False,False,0,9,14,23150,22427.0,0.031,0,6,9,0.1136623839456086,False,0,0.2613418386842382,Low Risk,2,Occasional / Higher Churn Risk
796670,canada,manitoba,winnipeg,r2c 0m5,female,bachelor,47536.0,married,star,4035.68,standard,2014,2,0.0,0.0,,2014-02-01,False,False,0,52,37,57796,56982.0,0.014,2,2,7,0.2274220851478749,False,0,0.2189970079961413,Low Risk,1,"Champions (high flights, low churn)"
556136,canada,quebec,montreal,h4g 3t4,female,college,73455.0,married,star,4035.77,standard,2017,1,0.0,0.0,,2017-01-01,False,False,0,17,28,30505,29984.0,0.017,0,6,10,0.1456241310122219,False,0,0.22260252601953,Low Risk,1,"Champions (high flights, low churn)"
513081,canada,alberta,edmonton,t9g 1w3,female,bachelor,98320.0,married,star,4037.5,standard,2015,11,0.0,0.0,,2015-11-01,False,False,0,31,19,29703,28708.0,0.033,0,4,7,0.1673512922210632,False,0,0.2728155308951612,Low Risk,0,Engaged / Mid-Tier Loyalty
930718,canada,quebec,montreal,h2t 2j6,female,high school or below,63577.0,married,star,4037.55,standard,2015,7,0.0,0.0,,2015-07-01,False,False,0,35,38,50977,49889.0,0.021,0,8,12,0.2271138936019648,False,0,0.2205246687044373,Low Risk,1,"Champions (high flights, low churn)"
235872,canada,ontario,toronto,p1j 8t7,female,doctor,89057.0,single,star,4046.94,standard,2013,3,0.0,0.0,,2013-03-01,False,False,0,63,31,45483,44262.0,0.027,1,2,5,0.2548148964269175,False,0,0.1969445691672769,Low Risk,1,"Champions (high flights, low churn)"
295147,canada,british columbia,kelowna,v09 2e9,male,bachelor,99814.0,married,star,4048.16,standard,2017,5,0.0,0.0,,2017-05-01,False,False,0,13,22,35487,34519.0,0.027,0,5,7,0.1120079925720131,False,0,0.206554154262586,Low Risk,2,Occasional / Higher Churn Risk
306110,canada,ontario,toronto,p1j 8t7,male,bachelor,64587.0,married,star,4053.37,standard,2013,5,0.0,0.0,,2013-05-01,False,False,0,61,21,25412,24615.0,0.031,0,7,11,0.3046635589388656,False,0,0.1862973314582905,Low Risk,0,Engaged / Mid-Tier Loyalty
295217,canada,ontario,toronto,m1r 4k3,female,doctor,67411.0,divorced,star,4059.57,standard,2016,6,0.0,0.0,,2016-06-01,False,False,0,24,20,36213,34848.0,0.038,1,5,10,0.163911068305735,False,0,0.2089397807616434,Low Risk,0,Engaged / Mid-Tier Loyalty
