Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month
699511,canada,british columbia,west vancouver,v6v 8z3,female,college,73455.0,divorced,star,4019.38,standard,2014,7,0.0,0.0
377322,canada,alberta,edmonton,t9g 1w3,female,bachelor,62518.0,married,star,4023.81,standard,2016,5,0.0,0.0
511053,canada,ontario,toronto,m2m 7k8,male,bachelor,62518.0,married,star,4023.81,standard,2015,3,0.0,0.0
890753,canada,quebec,montreal,h2y 2w2,male,college,73455.0,married,star,4025.1,standard,2017,9,0.0,0.0
796670,canada,manitoba,winnipeg,r2c 0m5,female,bachelor,47536.0,married,star,4035.68,standard,2014,2,0.0,0.0
556136,canada,quebec,montreal,h4g 3t4,female,college,73455.0,married,star,4035.77,standard,2017,1,0.0,0.0
513081,canada,alberta,edmonton,t9g 1w3,female,bachelor,98320.0,married,star,4037.5,standard,2015,11,0.0,0.0
930718,canada,quebec,montreal,h2t 2j6,female,high school or below,63577.0,married,star,4037.55,standard,2015,7,0.0,0.0
235872,canada,ontario,toronto,p1j 8t7,female,doctor,89057.0,single,star,4046.94,standard,2013,3,0.0,0.0
881142,canada,british columbia,vancouver,v1e 4r6,female,doctor,89057.0,single,star,4046.94,standard,2016,9,2017.0,5.0
295147,canada,british columbia,kelowna,v09 2e9,male,bachelor,99814.0,married,star,4048.16,standard,2017,5,0.0,0.0
306110,canada,ontario,toronto,p1j 8t7,male,bachelor,64587.0,married,star,4053.37,standard,2013,5,0.0,0.0
295217,canada,ontario,toronto,m1r 4k3,female,doctor,67411.0,divorced,star,4059.57,standard,2016,6,0.0,0.0
967300,canada,alberta,edmonton,t9g 1w3,male,bachelor,62630.0,single,aurora,6364.9,2018 promotion,2018,3,2018.0,11.0
591731,canada,ontario,toronto,p2t 6g3,male,bachelor,51370.0,married,star,4064.18,standard,2013,9,0.0,0.0
326905,canada,british columbia,vancouver,v5r 1w3,female,college,73455.0,married,star,4068.09,standard,2017,2,0.0,0.0
375511,canada,quebec,montreal,h2y 2w2,female,bachelor,59300.0,single,star,4070.05,standard,2014,7,0.0,0.0
485283,canada,ontario,toronto,p1j 8t7,male,bachelor,102479.0,single,star,4072.85,standard,2017,9,0.0,0.0
920716,canada,alberta,peace river,t9o 2w2,female,college,73455.0,single,aurora,7098.91,2018 promotion,2018,4,0.0,0.0
797685,canada,alberta,edmonton,t3g 6y6,male,college,73455.0,married,star,4079.13,standard,2017,6,0.0,0.0
216467,canada,new brunswick,fredericton,e3b 2h2,male,doctor,90995.0,married,star,4083.56,standard,2014,7,0.0,0.0
958839,canada,quebec,montreal,h4g 3t4,male,doctor,90995.0,married,star,4083.56,standard,2018,8,0.0,0.0
539673,canada,ontario,toronto,p5s 6r4,female,bachelor,49558.0,married,star,4087.51,standard,2015,2,2018.0,6.0
746226,canada,british columbia,whistler,v6t 1y8,female,bachelor,63501.0,married,star,4089.04,standard,2018,1,0.0,0.0
484718,canada,british columbia,vancouver,v6e 3z3,male,bachelor,76367.0,single,star,4089.46,standard,2012,6,0.0,0.0
528492,canada,quebec,hull,j8y 3z5,male,bachelor,60360.0,married,star,4090.75,standard,2015,6,2018.0,11.0
995091,canada,british columbia,whistler,v6t 1y8,female,bachelor,55454.0,married,star,4095.2,standard,2017,9,0.0,0.0
632793,canada,quebec,hull,j8y 3z5,female,high school or below,60370.0,single,star,4097.37,standard,2016,6,0.0,0.0
912220,canada,british columbia,vancouver,v6e 3z3,male,high school or below,60370.0,single,star,4097.37,standard,2013,8,2014.0,4.0
382197,canada,british columbia,vancouver,v6e 3z3,male,bachelor,69367.0,married,star,4100.47,standard,2017,10,2018.0,6.0
705196,canada,british columbia,whistler,v6t 1y8,female,college,73455.0,single,star,4101.94,standard,2013,11,0.0,0.0
123094,canada,british columbia,vancouver,v6e 3z3,female,bachelor,92223.0,married,star,4103.85,standard,2018,1,0.0,0.0
366540,canada,alberta,calgary,t3e 2v9,female,bachelor,90077.0,married,aurora,7288.88,2018 promotion,2018,3,0.0,0.0
119488,canada,quebec,tremblant,h5y 2s9,female,college,73455.0,single,star,4108.26,standard,2017,6,0.0,0.0
287750,canada,ontario,ottawa,k1f 2r2,female,college,73455.0,single,star,4109.31,standard,2012,8,0.0,0.0
735846,canada,ontario,trenton,k8v 4b2,male,bachelor,95318.0,married,star,4109.79,standard,2012,8,0.0,0.0
606026,canada,british columbia,vancouver,v6e 3z3,male,bachelor,55207.0,single,star,4110.62,standard,2015,7,0.0,0.0
460291,canada,british columbia,west vancouver,v6v 8z3,female,bachelor,55476.0,divorced,star,4111.2,standard,2015,9,0.0,0.0
743001,canada,british columbia,vancouver,v6e 3d9,female,bachelor,79533.0,married,star,4111.89,standard,2017,5,0.0,0.0
869799,canada,ontario,toronto,p1w 1k4,female,bachelor,79533.0,married,star,4111.89,standard,2015,3,0.0,0.0
520321,canada,ontario,london,m5b 3e4,female,doctor,237245.0,married,star,4112.84,standard,2015,9,2016.0,5.0
279419,canada,british columbia,west vancouver,v6v 8z3,female,college,73455.0,single,star,4117.37,standard,2013,7,0.0,0.0
170585,canada,ontario,thunder bay,k8t 5m5,male,bachelor,82675.0,single,star,4118.59,standard,2013,8,0.0,0.0
188340,canada,ontario,toronto,m2m 7k8,male,bachelor,82675.0,single,star,4118.59,standard,2017,4,0.0,0.0
670817,canada,ontario,ottawa,k1f 2r2,male,bachelor,82675.0,single,star,4118.59,standard,2016,12,0.0,0.0
509513,canada,british columbia,vancouver,v5r 1w3,male,college,73455.0,single,star,4121.25,standard,2012,12,0.0,0.0
779247,canada,manitoba,winnipeg,r2c 0m5,male,bachelor,86987.0,married,star,4122.57,standard,2012,9,0.0,0.0
111255,canada,quebec,hull,j8y 3z5,male,high school or below,70272.0,married,star,4122.96,standard,2013,3,0.0,0.0
763061,canada,ontario,toronto,p2t 6g3,male,bachelor,56845.0,married,star,4126.61,standard,2014,4,0.0,0.0
766335,canada,alberta,edmonton,t9g 1w3,male,bachelor,67756.0,married,aurora,7482.49,2018 promotion,2018,2,0.0,0.0
428919,canada,quebec,montreal,h2t 9k8,female,bachelor,58209.0,divorced,star,4139.9,standard,2015,7,0.0,0.0
139863,canada,quebec,montreal,h2t 9k8,male,bachelor,67223.0,married,star,4142.56,standard,2015,10,0.0,0.0
695755,canada,british columbia,west vancouver,v6v 8z3,female,bachelor,79088.0,married,star,4144.87,standard,2012,4,0.0,0.0
355331,canada,ontario,thunder bay,k8t 5m5,male,college,73455.0,divorced,star,4145.02,standard,2013,7,0.0,0.0
578837,canada,ontario,toronto,p5s 6r4,male,college,73455.0,single,star,4152.65,standard,2012,5,0.0,0.0
603248,canada,british columbia,vancouver,v6e 3d9,male,college,73455.0,married,star,4157.7,standard,2016,2,2016.0,10.0
467182,canada,alberta,edmonton,t9g 1w3,female,bachelor,102347.0,married,star,4160.02,standard,2013,12,2018.0,10.0
601407,canada,ontario,toronto,m2m 7k8,male,bachelor,72809.0,married,star,4165.17,standard,2015,9,0.0,0.0
700871,canada,newfoundland,st. john's,a1c 6h9,female,bachelor,74567.0,married,star,4165.25,standard,2015,12,0.0,0.0
203809,canada,alberta,edmonton,t3g 6y6,female,high school or below,54160.0,married,star,4165.35,standard,2012,7,0.0,0.0
705589,canada,ontario,toronto,p1l 8x8,female,college,73455.0,single,star,4165.99,standard,2012,5,0.0,0.0
354438,canada,quebec,montreal,h2t 2j6,male,college,73455.0,married,star,4167.09,standard,2018,9,0.0,0.0
746060,canada,british columbia,victoria,v10 6t5,male,college,73455.0,married,star,4167.09,standard,2014,4,0.0,0.0
469718,canada,ontario,toronto,p1j 8t7,male,bachelor,73544.0,married,star,4167.42,standard,2013,1,0.0,0.0
164429,canada,british columbia,dawson creek,u5i 4f1,female,bachelor,57852.0,single,star,4169.36,standard,2012,9,0.0,0.0
708373,canada,ontario,toronto,m2p 4f6,female,bachelor,57852.0,single,star,4169.36,standard,2017,3,0.0,0.0
225088,canada,british columbia,vancouver,v5r 1w3,male,bachelor,97991.0,married,star,4170.34,standard,2015,9,0.0,0.0
100214,canada,british columbia,vancouver,v5r 1w3,male,bachelor,63253.0,married,star,4170.57,standard,2015,8,0.0,0.0
459999,canada,quebec,tremblant,h5y 2s9,male,bachelor,53465.0,single,star,4170.69,standard,2017,9,0.0,0.0
553936,canada,ontario,toronto,p1j 8t7,female,bachelor,53465.0,single,star,4170.69,standard,2014,12,2015.0,8.0
268128,canada,ontario,toronto,p1w 1k4,female,high school or below,47663.0,married,star,4177.88,standard,2013,1,0.0,0.0
930584,canada,british columbia,vancouver,v5r 1w3,male,college,73455.0,single,star,4185.76,standard,2015,7,0.0,0.0
327796,canada,quebec,quebec city,g1b 3l5,male,college,73455.0,single,star,4191.06,standard,2017,6,0.0,0.0
947467,canada,british columbia,vancouver,v6e 3d9,female,bachelor,49937.0,married,star,4196.43,standard,2015,2,0.0,0.0
743510,canada,british columbia,vancouver,v6e 3d9,male,college,73455.0,single,star,4196.65,standard,2016,5,0.0,0.0
580324,canada,british columbia,vancouver,v6e 3d9,male,bachelor,61113.0,married,star,4198.03,standard,2013,6,0.0,0.0
845613,canada,quebec,montreal,h2y 4r4,male,bachelor,54297.0,married,star,4198.03,standard,2018,10,0.0,0.0
645919,canada,alberta,edmonton,t3g 6y6,female,bachelor,66297.0,divorced,aurora,7484.31,2018 promotion,2018,3,0.0,0.0
423324,canada,quebec,montreal,h2y 2w2,male,bachelor,69599.0,divorced,star,4200.37,standard,2017,12,0.0,0.0
101945,canada,nova scotia,halifax,b3c 2m8,male,bachelor,86098.0,married,star,4202.66,standard,2013,11,0.0,0.0
713636,canada,ontario,london,m5b 3e4,male,doctor,48109.0,married,star,4212.8,standard,2014,8,0.0,0.0
302509,canada,british columbia,dawson creek,u5i 4f1,male,doctor,74238.0,married,star,4213.92,standard,2017,3,0.0,0.0
789421,canada,british columbia,vancouver,v1e 4r6,female,college,73455.0,single,star,4217.86,standard,2016,11,0.0,0.0
914255,canada,ontario,toronto,m8y 4k8,male,college,73455.0,single,star,4217.86,standard,2015,11,2016.0,7.0
675879,canada,alberta,edmonton,t3g 6y6,male,bachelor,78617.0,married,aurora,8000.55,2018 promotion,2018,2,0.0,0.0
404426,canada,british columbia,vancouver,v6e 3d9,female,doctor,99696.0,married,star,4223.27,standard,2014,9,0.0,0.0
260106,canada,manitoba,winnipeg,r2c 0m5,female,bachelor,88876.0,single,star,4228.25,standard,2013,6,2017.0,4.0
827194,canada,alberta,edmonton,t3g 6y6,female,bachelor,71450.0,married,aurora,8255.76,2018 promotion,2018,3,0.0,0.0
438023,canada,british columbia,west vancouver,v6v 8z3,male,college,73455.0,married,star,4228.73,standard,2013,1,0.0,0.0
397518,canada,saskatchewan,regina,s6j 3g0,male,bachelor,76056.0,married,star,4235.18,standard,2018,1,2018.0,9.0
645742,canada,ontario,kingston,m9k 2p4,male,bachelor,76056.0,married,star,4235.18,standard,2014,8,2015.0,8.0
872932,canada,quebec,montreal,h2y 2w2,male,high school or below,72685.0,married,star,4236.3,standard,2015,3,0.0,0.0
407945,canada,new brunswick,fredericton,e3b 2h2,female,bachelor,75108.0,married,star,4236.47,standard,2012,12,0.0,0.0
211714,canada,british columbia,vancouver,v6e 3z3,female,doctor,103572.0,married,star,4236.84,standard,2015,6,0.0,0.0
410982,canada,ontario,trenton,k8v 4b2,male,master,132353.0,married,star,4237.37,standard,2017,2,0.0,0.0
905213,canada,british columbia,vancouver,v6e 3d9,female,master,132353.0,married,star,4237.37,standard,2015,10,0.0,0.0
147898,canada,quebec,tremblant,h5y 2s9,female,high school or below,59849.0,divorced,star,4241.64,standard,2012,8,0.0,0.0
530105,canada,ontario,london,m5b 3e4,male,college,73455.0,single,star,4242.69,standard,2017,11,2018.0,7.0
610946,canada,manitoba,winnipeg,r2c 0m5,female,bachelor,56947.0,married,star,4244.47,standard,2016,12,0.0,0.0
383108,canada,british columbia,vancouver,v5r 1w3,female,bachelor,64497.0,married,star,4247.68,standard,2012,6,0.0,0.0
836343,canada,ontario,toronto,p1l 8x8,female,bachelor,64497.0,married,star,4247.68,standard,2017,4,0.0,0.0
110262,canada,alberta,edmonton,t9g 1w3,male,bachelor,52267.0,married,aurora,9427.68,2018 promotion,2018,2,0.0,0.0
585357,canada,quebec,quebec city,g1b 3l5,male,college,73455.0,single,star,4250.28,standard,2016,10,0.0,0.0
784804,canada,alberta,banff,t4v 1d4,female,college,73455.0,single,star,4250.28,standard,2015,8,0.0,0.0
719633,canada,british columbia,victoria,v10 6t5,male,bachelor,52109.0,divorced,star,4250.78,standard,2016,12,0.0,0.0
715764,canada,manitoba,winnipeg,r3r 3t4,male,college,73455.0,single,star,4253.28,standard,2016,8,0.0,0.0
753473,canada,ontario,toronto,m2m 7k8,female,doctor,70996.0,single,star,4254.62,standard,2013,7,0.0,0.0
980856,canada,nova scotia,halifax,b3j 9s2,male,doctor,70996.0,single,star,4254.62,standard,2015,2,0.0,0.0
271660,canada,british columbia,vancouver,v5r 1w3,male,college,73455.0,married,star,4270.03,standard,2015,4,0.0,0.0
342980,canada,alberta,peace river,t9o 2w2,female,bachelor,69086.0,single,aurora,19480.5,2018 promotion,2018,2,0.0,0.0
830547,canada,british columbia,vancouver,v5r 1w3,male,bachelor,51111.0,single,star,4271.2,standard,2018,5,0.0,0.0
264936,canada,british columbia,whistler,v6t 1y8,female,college,73455.0,single,star,4272.81,standard,2013,8,0.0,0.0
436498,canada,quebec,montreal,h2t 9k8,male,college,73455.0,single,star,4272.81,standard,2013,11,2016.0,3.0
976513,canada,quebec,quebec city,g1b 3l5,female,bachelor,92067.0,married,star,4273.59,standard,2014,8,0.0,0.0
828776,canada,ontario,toronto,p2t 6g3,male,bachelor,60899.0,married,star,4274.62,standard,2017,5,0.0,0.0
240362,canada,ontario,toronto,m2m 7k8,male,bachelor,58756.0,married,star,4276.36,standard,2014,10,0.0,0.0
137845,canada,british columbia,dawson creek,u5i 4f1,female,bachelor,88445.0,married,star,4277.27,standard,2013,6,0.0,0.0
430569,canada,quebec,montreal,h2t 9k8,male,bachelor,87462.0,married,star,4277.56,standard,2016,10,0.0,0.0
317001,canada,ontario,trenton,k8v 4b2,male,bachelor,61809.0,married,star,4282.95,standard,2018,8,0.0,0.0
625870,canada,ontario,toronto,p1j 8t7,female,bachelor,61809.0,married,star,4282.95,standard,2013,8,0.0,0.0
660554,canada,alberta,edmonton,t3g 6y6,female,bachelor,61809.0,married,star,4282.95,standard,2017,10,0.0,0.0
917630,canada,ontario,toronto,p2t 6g3,female,bachelor,61809.0,married,star,4282.95,standard,2016,12,0.0,0.0
670686,canada,ontario,thunder bay,k8t 5m5,female,college,73455.0,single,star,4291.06,standard,2018,5,0.0,0.0
717660,canada,british columbia,vancouver,v1e 4r6,male,college,73455.0,single,star,4293.01,standard,2015,3,0.0,0.0
450621,canada,quebec,montreal,h2y 2w2,female,bachelor,77083.0,married,star,4296.6,standard,2015,3,0.0,0.0
939562,canada,ontario,toronto,m2z 4k1,female,bachelor,95467.0,married,star,4297.02,standard,2016,12,0.0,0.0
135250,canada,ontario,thunder bay,k8t 5m5,male,bachelor,88089.0,married,star,4298.66,standard,2013,8,0.0,0.0
714555,canada,ontario,toronto,p2t 6g3,male,bachelor,64387.0,divorced,star,4299.84,standard,2013,8,0.0,0.0
947868,canada,quebec,tremblant,h5y 2s9,male,bachelor,96733.0,married,star,4300.9,standard,2012,5,0.0,0.0
573661,canada,quebec,montreal,h2t 9k8,female,bachelor,86098.0,single,star,4303.64,standard,2018,8,0.0,0.0
228580,canada,ontario,toronto,m8y 4k8,male,bachelor,54643.0,single,star,4305.79,standard,2012,5,0.0,0.0
